ÓØÌ Makita 9558 HN;5129;579;https://www.sdvor.com/chelyabinsk/product/shlifmashina-uglovaja-makita-9558hn-579
ÓØÌ Bosch GWS 9-125 S;6326;417782;https://www.sdvor.com/chelyabinsk/product/ushm-bosch-gws-9-125-s-417782
ÓØÌ Ingco Industrial, 1100Âò, 125ìì, Ì 14 AG 110018;3115;441537;https://www.sdvor.com/chelyabinsk/product/ushm-ingco-industrial-1100vt-0-11000obmin-125mm-m14-ag110018-441537
ÓØÌ Makita 9069;8933;12336;https://www.sdvor.com/chelyabinsk/product/shlifmashina-uglovaja-makita-9069-12336
ÓØÌ Ñïåö ÁØÓ-900 (125 ìì, 900 âò);2190;526441;https://www.sdvor.com/chelyabinsk/product/UShM-Spets-BShU-900-125mm-900vt-526441
ÓØÌ Ingco 950 Âò 0-11000 îá/ìèí 115 ìì, Ì 14 AG95018;2635;449056;https://www.sdvor.com/chelyabinsk/product/ushm-ingco-950vt-0-11000obmin-115mm-m14-ag95018-449056
ÓØÌ àêêóìóëÿòîğíàÿ Einhell PXC AXXIO;7995;512094;https://www.sdvor.com/chelyabinsk/product/UShM-akk-Einhell-PXC-AXXIO-18V-Solo-besshchetochnyi-125-mm-8500-obmin-512094
ÓØÌ Makita GA 4530;4655;126024;https://www.sdvor.com/chelyabinsk/product/shlifmashina-uglovaja-makita-ga4530-126024
ÓØÌ Ingco AG10108-5;3255;77744;https://www.sdvor.com/chelyabinsk/product/shlifmashina-uglovaja-ingco-ag10108-5-77744
ÓØÌ ÑÏÅÖ ÁØÓ-650 (125 ìì, 650 âò);2090;526439;https://www.sdvor.com/chelyabinsk/product/UShM-SPETs-BShU-650-125mm-650vt-526439
ÓØÌ Ingco Industrial AG23508-1;6295;140545;https://www.sdvor.com/chelyabinsk/product/shlifmashina-uglovaja-ingco-industrial-ag23508-1-140545
ÓØÌ Ğåñàíòà-125/1400İ;4890;447624;https://www.sdvor.com/chelyabinsk/product/ugloshlifovalnaja-mashina-ushm-1251400e-resanta-447624
ÓØÌ ÑÏÅÖ-ÁØÓ-600 (115 ìì, 650 âò);1985;526440;https://www.sdvor.com/chelyabinsk/product/UShM-SPETs-BShU-600-115mm-650vt-526440
ÓØÌ Makita GA 9020 SF;11249;137177;https://www.sdvor.com/chelyabinsk/product/shlifmashina-uglovaja-makita-ga9020sf-137177
ÓØÌ Bosch GWS 2200 230 ìì;7997;460371;https://www.sdvor.com/chelyabinsk/product/ushm-bosch-gws-2200-230mm-460371
ÓØÌ Ğåñàíòà 230/2300;7390;447626;https://www.sdvor.com/chelyabinsk/product/ugloshlifovalnaja-mashina-ushm-2302300-resanta-447626
ÓØÌ-125/1100İ Ğåñàíòà;3890;537737;https://www.sdvor.com/chelyabinsk/product/UShM-125-1100E-Resanta-537737
ÓØÌ Bosch GWS 9-125 S;350;556525;https://www.sdvor.com/chelyabinsk/product/Arenda-UShM-BOSCH-GWS-9-125-S-556525
ÓØÌ Hanskonner HAG11125;4160;511233;https://www.sdvor.com/chelyabinsk/product/UShM-Hanskonner-HAG11125-511233
ÓØÌ Hanskonner 1200 Âò 125 ìì;5755;547558;https://www.sdvor.com/chelyabinsk/product/Bolgarka-UShM-125-mm-1200-Vt-Hanskonner-HAG12125EC-547558
ÓØÌ àêêóìóëÿòîğíàÿ Einhell PXC TE-AG 18/115 Li-Solo Acc;6555;512756;https://www.sdvor.com/chelyabinsk/product/Shlifmashina-uglovaia-akk-Einhell-PXC-TE-AG-18-115-Li-Solo-Acc-512756
ÓØÌ Hanskonner 2000 Âò, 180 ìì, HAG16180EC;6555;547560;https://www.sdvor.com/chelyabinsk/product/Bolgarka-UShM-180-mm-2000-Vt-Hanskonner-HAG16180EC-547560
ÓØÌ Ğåñàíòà-150/1300;4990;447625;https://www.sdvor.com/chelyabinsk/product/ugloshlifovalnaja-mashina-ushm-1501300-resanta-447625
